#;_I_am_working_today;_Is_it_full_time;_do_I_work_within_my_municipality;_leave_home_for_office;_leave_work_at_cycle;_leisure_status;_my_distance_to_work_today;_my_fixed_distance_to_work;albatross_Child;albatross_Comp;albatross_Darb;albatross_Day;albatross_Ddag;albatross_Dndag;albatross_Dpop;albatross_Driver;albatross_Dur;albatross_Gend;albatross_Ncar;albatross_Pwstat;albatross_SEC;albatross_Urb;albatross_Xarb;albatross_Xdag;albatross_Xndag;albatross_Xpop;albatross_pAge;albatross_wstat;current_edge;current_path;destination;forXdag;forXndag;heading;location;myPC;name;real_speed;speed;state;states;weekday_behavior
0;true;false;false;33;0;false;55.95600297650537;0.0;0;4;5;3;5;5;5;0;0;0;1;0;1;4;0;0;0;0;2;0;nil;nil;{178794.0096324511,36875.157101411234,0.0};[];[];267;{178797.9639047006,36950.6091107038,0.0};driving_pc_polygons(3521);'driving_people0';0.0;75.55555555555556;nil;[];true
1;true;true;true;34;71;false;3.397648849454329;0.0;0;4;5;4;5;4;5;1;0;1;1;0;2;4;2;1;3;0;3;0;nil;nil;{217068.4342162871,91784.95829879657,0.0};[];[];302;{217028.39587187837,91849.0330438395,0.0};driving_pc_polygons(2966);'driving_people1';0.0;75.55555555555556;nil;[];true
2;true;false;true;35;0;false;10.896485149446178;0.0;0;0;1;2;1;1;1;0;0;0;0;0;0;3;5;5;5;5;4;0;nil;nil;{125402.38836687237,164968.127740011,0.0};[];[];136;{125452.74215289608,164919.50165407886,0.0};driving_pc_polygons(1080);'driving_people2';0.0;70.0;nil;[];true
3;true;true;true;31;78;true;13.861715917851058;0.0;0;3;0;0;0;0;0;1;0;1;2;1;3;3;0;0;0;0;1;2;nil;nil;{68998.48209082075,173567.31488174904,0.0};[];[];154;{69061.39767406169,173536.6289014738,0.0};driving_pc_polygons(996);'driving_people3';0.0;70.0;nil;[];true
4;true;true;true;42;72;true;10.283821765793903;0.0;0;1;5;4;5;5;5;1;0;1;0;1;0;2;0;0;0;0;2;2;nil;nil;{213446.9095495298,39179.410883802586,0.0};[];[];313;{213399.16966432543,39230.60564291593,0.0};driving_pc_polygons(3930);'driving_people4';0.0;70.0;nil;[];true
5;false;false;true;0;0;true;0.0;0.0;2;3;5;2;5;5;5;1;0;0;1;2;3;4;0;0;0;0;1;1;nil;nil;{109664.15807062613,194880.57266530933,0.0};[];[];86;{109659.27511746404,194810.74318179116,0.0};driving_pc_polygons(1035);'driving_people5';0.0;70.0;nil;[];true
6;true;true;true;40;84;false;2.57245553232774;0.0;0;4;5;1;5;5;5;1;0;0;1;0;2;2;0;0;0;0;1;0;nil;nil;{259558.35921943403,43533.713019168776,0.0};[];[];306;{259517.21425177355,43590.34420877502,0.0};driving_pc_polygons(3866);'driving_people6';0.0;70.0;nil;[];true
7;true;true;false;28;67;false;82.20670896263564;0.0;3;3;5;3;5;5;5;1;0;0;2;2;3;4;0;0;0;0;1;1;nil;nil;{109865.41066577107,170381.90639590763,0.0};[];[];210;{109930.84369627922,170419.6841736854,0.0};driving_pc_polygons(1048);'driving_people7';0.0;75.55555555555556;nil;[];true
8;true;false;false;29;0;false;96.85544243823604;0.0;0;3;4;1;2;2;1;1;0;1;2;1;2;2;0;3;1;2;2;2;nil;nil;{64675.8219105865,182902.44504868335,0.0};[];[];146;{64738.46030495733,182860.1949181989,0.0};driving_pc_polygons(903);'driving_people8';0.0;75.55555555555556;nil;[];true
9;true;false;false;37;0;true;33.70586667423639;0.0;3;1;5;1;5;5;5;1;0;0;1;0;2;0;0;0;0;0;0;2;nil;nil;{144092.73904601813,197542.31907831505,0.0};[];[];49;{144043.17014160551,197485.29657669822,0.0};driving_pc_polygons(2401);'driving_people9';0.0;75.55555555555556;nil;[];true
